Date,LO_1,LO_2,OS_1,OS_2,DQS_1,DQS_2,Other
14-Oct-19,James Lasker,,,,,,
15-Oct-19,James Lasker,,,,,,
16-Oct-19,James Lasker,,,,,,
17-Oct-19,Satya Gontcho A Gontcho,,,,,,
18-Oct-19,Satya Gontcho A Gontcho,,,,,,
19-Oct-19,Satya Gontcho A Gontcho,,,,,,
20-Oct-19,Satya Gontcho A Gontcho,,,,,,
21-Oct-19,Satya Gontcho A Gontcho,,Aaron Meisner,,Arjun Dey,,
22-Oct-19,Satya Gontcho A Gontcho,,Aaron Meisner,,Arjun Dey,,
23-Oct-19,Satya Gontcho A Gontcho,,Aaron Meisner,,Arjun Dey,,
24-Oct-19,Martin Landriau,,Elizabeth Buckley-Geer,,Arjun Dey,,
25-Oct-19,Martin Landriau,,Elizabeth Buckley-Geer,,Arjun Dey,,
26-Oct-19,Martin Landriau,,Elizabeth Buckley-Geer,,Arjun Dey,,
27-Oct-19,Martin Landriau,,Elizabeth Buckley-Geer,,Arjun Dey,,
28-Oct-19,Martin Landriau,,Segev BenZvi,,,,
29-Oct-19,Martin Landriau,,Segev BenZvi,,,,
30-Oct-19,Martin Landriau,,Segev BenZvi,,,,
31-Oct-19,Martin Landriau,,Segev BenZvi,,,,
1-Nov-19,Claire Poppett,,Segev BenZvi,,,,
2-Nov-19,Claire Poppett,,Segev BenZvi,,,,
3-Nov-19,Claire Poppett,,,,Aaron Meisner,,
4-Nov-19,Claire Poppett,,,,Aaron Meisner,,
5-Nov-19,Claire Poppett,,Stephanie Juneau,,Aaron Meisner,,
6-Nov-19,Claire Poppett,,Stephanie Juneau,,Aaron Meisner,,
7-Nov-19,Kai Zhang,,Stephanie Juneau,,,,
8-Nov-19,Kai Zhang,,James Lasker,,,,
9-Nov-19,Kai Zhang,,James Lasker,,,,
10-Nov-19,Kai Zhang,,James Lasker,,,,
11-Nov-19,Kai Zhang,,James Lasker,,,,
12-Nov-19,Kai Zhang,,Benjamin Alan Weaver,,Arjun Dey,,
13-Nov-19,Kai Zhang,,Benjamin Alan Weaver,,Arjun Dey,,
14-Nov-19,Ann Elliott,,Benjamin Alan Weaver,,,,
15-Nov-19,Ann Elliott,,Benjamin Alan Weaver,,,,
16-Nov-19,Ann Elliott,,Benjamin Alan Weaver,,Daniel Eisenstein,,
17-Nov-19,Ann Elliott,,Daniel Eisenstein,,,,
18-Nov-19,Ann Elliott,,Luke Tyas,,,,
19-Nov-19,Ann Elliott,,Luke Tyas,,,,
20-Nov-19,Ann Elliott,,,,Stephanie Juneau,,
21-Nov-19,Luke Tyas,,Satya Gontcho A Gontcho,,Stephanie Juneau,,
22-Nov-19,Luke Tyas,,Satya Gontcho A Gontcho,,,,
23-Nov-19,Luke Tyas,,Satya Gontcho A Gontcho,,,,
24-Nov-19,Luke Tyas,,Satya Gontcho A Gontcho,,,,
25-Nov-19,Luke Tyas,,Satya Gontcho A Gontcho,,,,
26-Nov-19,Luke Tyas,,Connie Rockosi,,,,
27-Nov-19,Luke Tyas,,Connie Rockosi,,,,
28-Nov-19,,,,,,,
29-Nov-19,,,,,,,
30-Nov-19,Michael Schubnell,,Connie Rockosi,,,,
1-Dec-19,Michael Schubnell,,Michael Levi,,Mehdi Rezaie,,Zhou Xu
2-Dec-19,Michael Schubnell,,Michael Levi,,Mehdi Rezaie,,Zhou Xu
3-Dec-19,Michael Schubnell,,Rongpu Zhou,,Mehdi Rezaie,,Zhou Xu
4-Dec-19,Michael Schubnell,,Rongpu Zhou,,Mehdi Rezaie,,Zhou Xu
5-Dec-19,Satya Gontcho A Gontcho,,Rongpu Zhou,,Klaus Honscheid,,Zhou Xu
6-Dec-19,Satya Gontcho A Gontcho,,Rongpu Zhou,,Klaus Honscheid,,Zhou Xu
7-Dec-19,Satya Gontcho A Gontcho,,Tod R. Lauer,,Klaus Honscheid,,Zhou Xu
8-Dec-19,Satya Gontcho A Gontcho,,Tod R. Lauer,,Klaus Honscheid,,Zhou Xu
9-Dec-19,Satya Gontcho A Gontcho,,Tod R. Lauer,,Jim Annis,,
10-Dec-19,Satya Gontcho A Gontcho,,Tod R. Lauer,,Jim Annis,,
11-Dec-19,Satya Gontcho A Gontcho,,Adam Hawken,,Jim Annis,,
12-Dec-19,Claire Poppett,,Adam Hawken,,Jim Annis,,
13-Dec-19,Claire Poppett,,Adam Hawken,,Monica Valluri,,Segev BenZvi
14-Dec-19,Claire Poppett,,Adam Hawken,,Monica Valluri,,Segev BenZvi
15-Dec-19,Claire Poppett,,Dylan Green,,Monica Valluri,,Segev BenZvi
16-Dec-19,Claire Poppett,,Dylan Green,,Monica Valluri,,Segev BenZvi
17-Dec-19,Claire Poppett,,Dylan Green,,Dragan Huterer,,Segev BenZvi
18-Dec-19,Claire Poppett,,Dylan Green,,Dragan Huterer,,Tanveer Karim
19-Dec-19,Luke Tyas,,Tanveer Karim,,Dragan Huterer,,
20-Dec-19,Luke Tyas,,Tanveer Karim,,Dragan Huterer,,
21-Dec-19,Luke Tyas,,Tanveer Karim,,Duan Yutong,,
22-Dec-19,Luke Tyas,,Tanveer Karim,,Duan Yutong,,
23-Dec-19,Luke Tyas,,Tanveer Karim,,Duan Yutong,,
